match_id,game_id,team,score_team,opponent,score_opp,win_lose,map,map_pick,player_id,player,agent,rating,acs,kill,death,assist,kast%,adr,hs%,fk,fd
706362,0,FURIA,0,MIBR,0,opponent win,N/A,N/A,0,eeiu,Unknown,,,0,0,0,,,,,
706362,0,FURIA,0,MIBR,0,opponent win,N/A,N/A,0,eeiu,Unknown,,,0,0,0,,,,,
706362,0,FURIA,0,MIBR,0,opponent win,N/A,N/A,0,koalanoob,Unknown,,,0,0,0,,,,,
706362,0,FURIA,0,MIBR,0,opponent win,N/A,N/A,0,koalanoob,Unknown,,,0,0,0,,,,,
706362,0,FURIA,0,MIBR,0,opponent win,N/A,N/A,0,koalanoob,Unknown,,,0,0,0,,,,,
706362,0,FURIA,0,MIBR,0,opponent win,N/A,N/A,0,tex,Unknown,,,0,0,0,,,,,
706362,0,FURIA,0,MIBR,0,opponent win,N/A,N/A,0,tex,Unknown,,,0,0,0,,,,,
706362,0,FURIA,0,MIBR,0,opponent win,N/A,N/A,0,tex,Unknown,,,0,0,0,,,,,
706362,0,FURIA,0,MIBR,0,opponent win,N/A,N/A,0,zekken,Unknown,,,0,0,0,,,,,
706362,0,FURIA,0,MIBR,0,opponent win,N/A,N/A,0,zekken,Unknown,,,0,0,0,,,,,
706362,0,FURIA,0,MIBR,0,opponent win,N/A,N/A,0,zekken,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,BABYBAY,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,BABYBAY,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,BABYBAY,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,Dantedeu5,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,Dantedeu5,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,Dantedeu5,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,Less,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,Less,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,Less,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,jawgemo,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,jawgemo,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,jawgemo,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,leaf,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,leaf,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,leaf,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,mwzera,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,mwzera,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,mwzera,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,saadhak,Unknown,,,0,0,0,,,,,
706364,0,KRÜ Esports,0,G2 Esports,0,opponent win,N/A,N/A,0,saadhak,Unknown,,,0,0,0,,,,,
